Taxar,ID_analysis,Provyteareal,Both Pine cover,Pine_proportion,Birch cover,Aspen cover,Rowan cover,Salix cover ,Oak,RASE_proportion,RASE cover,RASE presence,NordKoordinat,OstKoordinat,Forest_class,HuggnKlass,ViktﾄlgSpillh,Moose pellet groups,Moose presence ,Wolf territory,Time since establishment,Small,Small roads,Big roads,Pellet counts,Inventetad 舁gspillningarea m2,Viktad舁gspillniningsAreal(ha)
2015,2.0154E+11,153.94,2,0.012992075,2,0,0.1,0,0,0.000649604,0.1,1,6610823,548719,3,33,0,0,0,1,11,0.0102,10.2231528,2389.29869,0,38.48,3624.085985
2012,2.0123E+11,153.94,2,0.012992075,2,0,0.5,0,0,0.003248019,0.5,1,6754830,599587,3,32,0,0,0,0,0,0.0103,10.29557097,3727.035821,0,38.48,4916.819444
2015,2.0155E+11,153.94,0,0,0,0,6,0,0,0.038976225,6,1,6439130,317071,1,11,0,0,0,0,0,0.0103,10.30976804,466.173853,0,38.48,2024.815458
2007,2.00731E+11,153.94,3,0.019488112,3,2,2,0,0,0.02598415,4,1,6823881,499559,4,41,0,0,0,1,1,0.0104,10.36774188,7200.634074,0,38.48,3773.008974
2015,2.0153E+11,153.94,1,0.006496037,1,0,0,0,0,0,0,0,6696814,383514,3,31,0,0,0,1,16,0.0104,10.37138794,758.189788,0,38.48,2529.942305
2009,2.00941E+11,153.94,4,0.02598415,2,2,3,2,0,0.045472262,7,1,6514129,324573,4,42,0,0,0,1,6,0.0105,10.45599315,734.082494,0,38.48,2755.365926
2004,2.00431E+11,120.56,0.5,0.004147313,0.5,0,0,0,0,0,0,0,6855037,553151,3,34,0,0,0,0,0,0.0105,10.50010579,892.448309,0,38,3725.944413
2014,2.0143E+11,153.94,7,0.045472262,6,1,3,1,0.1,0.033129791,5.1,1,6692814,597278,3,31,0,0,0,0,0,0.0106,10.55420808,702.301938,0,38.48,3509.146939
2008,2.00831E+11,153.94,0,0,0,0,0,0,0,0,0,0,6852997,534387,1,11,0,0,0,1,2,0.0106,10.56764028,1280.334209,0,38.48,2559.084348
2003,2.00331E+11,153.94,27,0.17539301,0,0,0,0,0,0,0,0,6843869,539295,2,23,0,0,0,0,0,0.0106,10.58615428,918.748458,0,38.48,3633.267901
